205,106771,-7967,0,0
206,107292,-9369,0,0
207,107812,-10410,0,0
208,108333,-11051,0,0
209,108854,-11268,0,0
210,109375,-11051,0,0
211,109896,-10410,0,0
212,110417,-9369,0,0
213,110938,-7967,0,0
214,111458,-6260,0,0
215,111979,-4312,0,0
216,112500,-2198,0,0
217,113021,0,0,0
218,113542,2198,0,0
219,114062,4312,0,0
220,114583,6260,0,0
221,115104,7967,0,0
222,115625,9369,0,0
223,116146,10410,0,0
224,116667,11051,0,0
225,117188,11268,0,0
226,117708,11051,0,0
227,118229,10410,0,0
228,118750,9369,0,0
229,119271,7967,0,0
230,119792,6260,0,0
231,120312,4312,0,0
232,120833,2198,0,0
233,121354,0,0,0
234,121875,-2198,0,0
235,122396,-4312,0,0
236,122917,-6260,0,0
237,123438,-7967,0,0
238,123958,-9369,0,0
239,124479,-10410,0,0
240,125000,-11051,0,0
241,125521,-11268,0,0
242,126042,-11051,0,0
243,126563,-10410,0,0
244,127083,-9369,0,0
245,127604,-7967,0,0
246,128125,-6260,0,0
247,128646,-4312,0,0
248,129167,-2198,0,0
249,129688,0,0,0
250,130208,2198,0,0
251,130729,4312,0,0
252,131250,6260,0,0
253,131771,7967,0,0
254,132292,9369,0,0
255,132812,10410,0,0
256,133333,11051,0,0
257,133854,11268,0,0
258,134375,11051,0,0
259,134896,10410,0,0
260,135417,9369,0,0
261,135938,7967,0,0
262,136458,6260,0,0
263,136979,4312,0,0
264,137500,2198,0,0
265,138021,0,0,0
266,138542,-2198,0,0
267,139062,-4312,0,0
268,139583,-6260,0,0
269,140104,-7967,0,0
270,140625,-9369,0,0
271,141146,-10410,0,0
272,141667,-11051,0,0
273,142188,-11268,0,0
274,142708,-11051,0,0
275,143229,-10410,0,0
276,143750,-9369,0,0
277,144271,-7967,0,0
278,144792,-6260,0,0
279,145312,-4312,0,0
280,145833,-2198,0,0
281,146354,0,0,0
282,146875,2198,0,0
283,147396,4312,0,0
284,147917,6260,0,0
285,148438,7967,0,0
286,148958,9369,0,0
287,149479,10410,0,0
288,150000,11051,0,0
289,150521,11268,0,0
290,151042,11051,0,0
291,151562,10410,0,0
292,152083,9369,0,0
293,152604,7967,0,0
294,153125,6260,0,0
295,153646,4312,0,0
296,154167,2198,0,0
297,154688,0,0,0
298,155208,-2198,0,0
299,155729,-4312,0,0
300,156250,-6260,0,0
301,156771,-7967,0,0
302,157292,-9369,0,0
303,157812,-10410,0,0
304,158333,-11051,0,0
305,158854,-11268,0,0
306,159375,-11051,0,0
307,159896,-10410,0,0
308,160417,-9369,0,0
309,160938,-7967,0,0
310,161458,-6260,0,0
311,161979,-4312,0,0
312,162500,-2198,0,0
313,163021,0,0,0
314,163542,2198,0,0
315,164062,4312,0,0
316,164583,6260,0,0
317,165104,7967,0,0
318,165625,9369,0,0
319,166146,10410,0,0
320,166667,11051,0,0
321,167188,11268,0,0
322,167708,11051,0,0
323,168229,10410,0,0
324,168750,9369,0,0
325,169271,7967,0,0
326,169792,6260,0,0
327,170312,4312,0,0
328,170833,2198,0,0
329,171354,0,0,0
330,171875,-2198,0,0
331,172396,-4312,0,0
332,172917,-6260,0,0
333,173438,-7967,0,0
334,173958,-9369,0,0
335,174479,-10410,0,0
336,175000,-11051,0,0
337,175521,-11268,0,0
338,176042,-11051,0,0
339,176562,-10410,0,0
340,177083,-9369,0,0
341,177604,-7967,0,0
342,178125,-6260,0,0
343,178646,-4312,0,0
344,179167,-2198,0,0
345,179688,0,0,0
346,180208,2198,0,0
347,180729,4312,0,0
348,181250,6260,0,0
349,181771,7967,0,0
350,182292,9369,0,0
351,182812,10410,0,0
352,183333,11051,0,0
353,183854,11268,0,0
354,184375,11051,0,0
355,184896,10410,0,0
356,185417,9369,0,0
357,185938,7967,0,0
358,186458,6260,0,0
359,186979,4312,0,0
360,187500,2198,0,0
361,188021,0,0,0
362,188542,-2198,0,0
363,189062,-4312,0,0
364,189583,-6260,0,0
365,190104,-7967,0,0
366,190625,-9369,0,0
367,191146,-10410,0,0
368,191667,-11051,0,0
369,192188,-11268,0,0
370,192708,-11051,0,0
371,193229,-10410,0,0
372,193750,-9369,0,0
373,194271,-7967,0,0
374,194792,-6260,0,0
375,195312,-4312,0,0
376,195833,-2198,0,0
377,196354,0,0,0
378,196875,2198,0,0
379,197396,4312,0,0
380,197917,6260,0,0
381,198438,7967,0,0
382,198958,9369,0,0
383,199479,10410,0,0
384,200000,11051,0,0
385,200521,11268,0,0
386,201042,11051,0,0
387,201562,10410,0,0
388,202083,9369,0,0
389,202604,7967,0,0
390,203125,6260,0,0
391,203646,4312,0,0
392,204167,2198,0,0
393,204688,0,0,0
394,205208,-2198,0,0
395,205729,-4312,0,0
396,206250,-6260,0,0
397,206771,-7967,0,0
398,207292,-9369,0,0
399,207812,-10410,0,0
400,208333,-11051,0,0
401,208854,-11268,0,0
402,209375,-11051,0,0
403,209896,-10410,0,0
404,210417,-9369,0,0
405,210938,-7967,0,0
406,211458,-6260,0,0
407,211979,-4312,0,0
408,212500,-2198,0,0
409,213021,0,0,0
410,213542,2198,0,0
411,214062,4312,0,0
412,214583,6260,0,0
413,215104,7967,0,0
414,215625,9369,0,0
415,216146,10410,0,0
416,216667,11051,0,0
417,217188,11268,0,0
418,217708,11051,0,0
419,218229,10410,0,0
420,218750,9369,0,0
421,219271,7967,0,0
422,219792,6260,0,0
423,220312,4312,0,0
424,220833,2198,0,0
425,221354,0,0,0
426,221875,-2198,0,0
427,222396,-4312,0,0
428,222917,-6260,0,0
429,223438,-7967,0,0
430,223958,-9369,0,0
431,224479,-10410,0,0
432,225000,-11051,0,0
433,225521,-11268,0,0
434,226042,-11051,0,0
435,226562,-10410,0,0
436,227083,-9369,0,0
437,227604,-7967,0,0
438,228125,-6260,0,0
439,228646,-4312,0,0
440,229167,-2198,0,0
441,229688,0,0,0
442,230208,2198,0,0
443,230729,4312,0,0
444,231250,6260,0,0
445,231771,7967,0,0
446,232292,9369,0,0
447,232812,10410,0,0
448,233333,11051,0,0
449,233854,11268,0,0
450,234375,11051,0,0
451,234896,10410,0,0
452,235417,9369,0,0
453,235938,7967,0,0
454,236458,6260,0,0
455,236979,4312,0,0
456,237500,2198,0,0
457,238021,0,0,0
458,238542,-2198,0,0
459,239062,-4312,0,0
460,239583,-6260,0,0
461,240104,-7967,0,0
462,240625,-9369,0,0
463,241146,-10410,0,0
464,241667,-11051,0,0
465,242188,-11268,0,0
466,242708,-11051,0,0
467,243229,-10410,0,0
468,243750,-9369,0,0
469,244271,-7967,0,0
470,244792,-6260,0,0
471,245312,-4312,0,0
472,245833,-2198,0,0
473,246354,0,0,0
474,246875,2198,0,0
475,247396,4312,0,0
476,247917,6260,0,0
477,248438,7967,0,0
478,248958,9369,0,0
479,249479,10410,0,0
480,250000,11051,0,0
481,250521,11268,0,0
482,251042,11051,0,0
483,251562,10410,0,0
484,252083,9369,0,0
485,252604,7967,0,0
486,253125,6260,0,0
487,253646,4312,0,0
488,254167,2198,0,0
489,254687,0,0,0
490,255208,-2198,0,0
491,255729,-4312,0,0
492,256250,-6260,0,0
493,256771,-7967,0,0
494,257292,-9369,0,0
495,257812,-10410,0,0
496,258333,-11051,0,0
497,258854,-11268,0,0
498,259375,-11051,0,0
499,259896,-10410,0,0
500,260417,-9369,0,0
501,260938,-7967,0,0
502,261458,-6260,0,0
503,261979,-4312,0,0
504,262500,-2198,0,0
505,263021,0,0,0
506,263542,2198,0,0
507,264062,4312,0,0
508,264583,6260,0,0
509,265104,7967,0,0
510,265625,9369,0,0
511,266146,10410,0,0
512,266667,11051,0,0
513,267188,11268,0,0
514,267708,11051,0,0
515,268229,10410,0,0
516,268750,9369,0,0
517,269271,7967,0,0
518,269792,6260,0,0
519,270312,4312,0,0
520,270833,2198,0,0
521,271354,0,0,0
522,271875,-2198,0,0
523,272396,-4312,0,0
524,272917,-6260,0,0
525,273438,-7967,0,0
526,273958,-9369,0,0
527,274479,-10410,0,0
528,275000,-11051,0,0
529,275521,-11268,0,0
530,276042,-11051,0,0
531,276562,-10410,0,0
532,277083,-9369,0,0
533,277604,-7967,0,0
534,278125,-6260,0,0
535,278646,-4312,0,0
536,279167,-2198,0,0
537,279688,0,0,0
538,280208,2198,0,0
539,280729,4312,0,0
540,281250,6260,0,0
541,281771,7967,0,0
542,282292,9369,0,0
543,282812,10410,0,0
544,283333,11051,0,0
545,283854,11268,0,0
546,284375,11051,0,0
547,284896,10410,0,0
548,285417,9369,0,0
549,285938,7967,0,0
550,286458,6260,0,0
551,286979,4312,0,0
552,287500,2198,0,0
553,288021,0,0,0
554,288542,-2198,0,0
555,289062,-4312,0,0
556,289583,-6260,0,0
557,290104,-7967,0,0
558,290625,-9369,0,0
559,291146,-10410,0,0
560,291667,-11051,0,0
561,292188,-11268,0,0
562,292708,-11051,0,0
563,293229,-10410,0,0
564,293750,-9369,0,0
565,294271,-7967,0,0
566,294792,-6260,0,0
567,295312,-4312,0,0
568,295833,-2198,0,0
569,296354,0,0,0
570,296875,2198,0,0
571,297396,4312,0,0
572,297917,6260,0,0
573,298438,7967,0,0
574,298958,9369,0,0
575,299479,10410,0,0
576,300000,11051,0,0
577,300521,11268,0,0
578,301042,11051,0,0
579,301562,10410,0,0
580,302083,9369,0,0
581,302604,7967,0,0
582,303125,6260,0,0
583,303646,4312,0,0
584,304167,2198,0,0
585,304688,0,0,0
586,305208,-2198,0,0
587,305729,-4312,0,0
588,306250,-6260,0,0
589,306771,-7967,0,0
590,307292,-9369,0,0
591,307812,-10410,0,0
592,308333,-11051,0,0
593,308854,-11268,0,0
594,309375,-11051,0,0
595,309896,-10410,0,0
596,310417,-9369,0,0
597,310938,-7967,0,0
598,311458,-6260,0,0
599,311979,-4312,0,0
600,312500,-2198,0,0
601,313021,0,0,0
602,313542,2198,0,0
603,314062,4312,0,0
604,314583,6260,0,0
605,315104,7967,0,0
606,315625,9369,0,0
607,316146,10410,0,0
608,316667,11051,0,0
609,317188,11268,0,0
610,317708,11051,0,0
611,318229,10410,0,0
612,318750,9369,0,0
613,319271,7967,0,0
614,319792,6260,0,0
615,320312,4312,0,0
616,320833,2198,0,0
617,321354,0,0,0
618,321875,-2198,0,0
